id,taxon,common_name,family,type,app_claimed_rarity,inat_sg_observations,inat_sg_research_grade,inat_global_observations,inat_bucket
2,Neurobasis chinensis,Green Metalwing,Calopterygidae,zygoptera,extinct,0,0,3374,0 records (possibly extinct/unrecorded on iNat)
8,Libellago stigmatizans,Orange-face Gem,Chlorocyphidae,zygoptera,extinct,0,0,49,0 records (possibly extinct/unrecorded on iNat)
9,Dysphaea dimidiata,Black Velvetwing,Euphaeidae,zygoptera,extinct,0,0,202,0 records (possibly extinct/unrecorded on iNat)
12,Orolestes wallacei,Great Spreadwing,Lestidae,zygoptera,extinct,0,0,44,0 records (possibly extinct/unrecorded on iNat)
13,Platylestes heterostylus,Slender Spreadwing,Lestidae,zygoptera,very rare,0,0,1,0 records (possibly extinct/unrecorded on iNat)
37,Amphicnemis bebar,Amphicnemis bebar,Coenagrionidae,zygoptera,uncommon,0,0,0,0 records (possibly extinct/unrecorded on iNat)
38,Coeliccia albicauda,White-tailed Sylvan,Platycnemididae,zygoptera,very rare,0,0,231,0 records (possibly extinct/unrecorded on iNat)
39,Coeliccia didyma,Twin-spotted Sylvan,Platycnemididae,zygoptera,very rare,0,0,367,0 records (possibly extinct/unrecorded on iNat)
58,Burmagomphus divaricatus,Splayed Clubtail,Gomphidae,anisoptera,very rare,0,0,63,0 records (possibly extinct/unrecorded on iNat)
59,Burmagomphus plagiatus,Lesser Splayed Clubtail,Gomphidae,anisoptera,extinct,0,0,4,0 records (possibly extinct/unrecorded on iNat)
64,Merogomphus femoralis,Malayan Spineleg,Gomphidae,anisoptera,very rare,0,0,3,0 records (possibly extinct/unrecorded on iNat)
79,Brachydiplax farinosa,Black-tailed Dasher,Libellulidae,anisoptera,very rare,0,0,1214,0 records (possibly extinct/unrecorded on iNat)
96,Neurothemis disparilis,Rare Parasol,Libellulidae,anisoptera,very rare,0,0,5,0 records (possibly extinct/unrecorded on iNat)
114,Rhyothemis pygmaea,Small Bronze Flutterer,Libellulidae,anisoptera,extinct,0,0,0,0 records (possibly extinct/unrecorded on iNat)
117,Tetrathemis irregularis,Elf,Libellulidae,anisoptera,rare,0,0,601,0 records (possibly extinct/unrecorded on iNat)
124,Urothemis abbotti,Rare Basker,Libellulidae,anisoptera,extinct,0,0,114,0 records (possibly extinct/unrecorded on iNat)
127,Zyxomma obtusum,Duskhawker,Libellulidae,anisoptera,,0,0,616,0 records (possibly extinct/unrecorded on iNat)
128,Echo modesta,White-faced Clearwing,Calopterygidae,zygoptera,,0,0,125,0 records (possibly extinct/unrecorded on iNat)
130,Agriocnemis minima,Marsh Wisp,Coenagrionidae,zygoptera,,0,0,416,0 records (possibly extinct/unrecorded on iNat)
135,Burmagomphus arthuri,Arthur's Clubtail,Gomphidae,anisoptera,,0,0,1,0 records (possibly extinct/unrecorded on iNat)
15,Aciagrion hisopa,Blue Slim,Coenagrionidae,zygoptera,very rare,1,1,81,very few records (1-5)
23,Argiocnemis rubescens rubeola,Variable Sprite,Coenagrionidae,zygoptera,uncommon,1,1,83,very few records (1-5)
32,Pseudagrion microcephalum,Blue Sprite,Coenagrionidae,zygoptera,common,1,0,1977,very few records (1-5)
36,Teinobasis cryptica,Teinobasis cryptica,Coenagrionidae,zygoptera,uncommon,1,0,5,very few records (1-5)
71,Macromia cydippe,Lesser Stream Cruiser,Corduliidae,anisoptera,very rare,2,2,21,very few records (1-5)
138,Tetrathemis flavescens,Yellow-tinted Elf,Libellulidae,anisoptera,,2,2,7,very few records (1-5)
60,Heliogomphus kelantanensis,Malayan Grappletail,Gomphidae,anisoptera,very rare,3,3,5,very few records (1-5)
134,Acrogomphus malayanus,Malayan Hooktail,Gomphidae,anisoptera,,3,3,12,very few records (1-5)
62,Leptogomphus risi,Ris' Clubtail,Gomphidae,anisoptera,very rare,7,6,26,few records (6-20)
129,Vestalis gracilis,Plain Flashwing,Calopterygidae,zygoptera,,7,7,2169,few records (6-20)
4,Vestalis amoena,Charming Flashwing,Calopterygidae,zygoptera,uncommon,8,4,84,few records (6-20)
55,Oligoaeschna amata,Paddletail,Aeshnidae,anisoptera,,8,7,11,few records (6-20)
56,Oligoaeschna foliacea,Leaftail,Aeshnidae,anisoptera,rare,8,8,13,few records (6-20)
66,Paragomphus capricornis,Banded Hooktail,Gomphidae,anisoptera,rare,8,8,289,few records (6-20)
