id,taxon,common_name,family,type,checklist_distribution_rarity,inat_sg_observations_raw,inat_sg_observations_excl_bulk_user,inat_sg_research_grade,inat_global_observations_excl_bulk_user,Suggest change to,,
2,Neurobasis chinensis,Green Metalwing,Calopterygidae,zygoptera,Nationally Extinct,0,0,0,3373,(no change),very rare or extinct,
8,Libellago stigmatizans,Orange-faced Gem,Chlorocyphidae,zygoptera,Nationally Extinct,0,0,0,49,(no change),,
9,Dysphaea dimidiata,Black Velvetwing,Euphaeidae,zygoptera,Nationally Extinct,0,0,0,202,(no change),,
12,Orolestes wallacei,Great Spreadwing,Lestidae,zygoptera,Nationally Extinct,0,0,0,44,(no change),,
13,Platylestes heterostylus,Slender Spreadwing,Lestidae,zygoptera,Restricted & Very Rare,0,0,0,1,(no change),,
37,Amphicnemis bebar,Bebar Wisp,Coenagrionidae,zygoptera,Restricted & Very Rare,0,0,0,0,(no change),,
38,Coeliccia albicauda,White-tailed Sylvan,Platycnemididae,zygoptera,Restricted & Very Rare,0,0,0,229,(no change),,
39,Coeliccia didyma,Twin-spotted Sylvan,Platycnemididae,zygoptera,Restricted & Very Rare,0,0,0,367,(no change),,
58,Burmagomphus divaricatus,Splayed Clubtail,Gomphidae,anisoptera,Nationally Extinct,0,0,0,63,(no change),,
59,Burmagomphus plagiatus,Lesser Splayed Clubtail,Gomphidae,anisoptera,Nationally Extinct,0,0,0,4,(no change),,
64,Merogomphus femoralis,Malayan Spineleg,Gomphidae,anisoptera,Restricted & Very Rare,0,0,0,3,(no change),,
79,Brachydiplax farinosa,Black-tailed Dasher,Libellulidae,anisoptera,Restricted & Very Rare,0,0,0,1214,(no change),,
96,Neurothemis disparilis,Rare Parasol,Libellulidae,anisoptera,Nationally Extinct,0,0,0,5,(no change),,
114,Rhyothemis fulgens,Small Bronze Flutterer,Libellulidae,anisoptera,Nationally Extinct,0,0,0,14,(no change),,
124,Urothemis abbotti,Rare Basker,Libellulidae,anisoptera,Nationally Extinct,0,0,0,114,(no change),,
127,Zyxomma obtusum,White Duskdarter,Libellulidae,anisoptera,Restricted & Uncommon,0,0,0,616,Restricted & Very Rare,,
128,Echo modesta,White-faced Clearwing,Calopterygidae,zygoptera,Nationally Extinct,0,0,0,125,(no change),,
130,Agriocnemis minima,Marsh Wisp,Coenagrionidae,zygoptera,Restricted & Very Rare,0,0,0,416,(no change),,
135,Burmagomphus arthuri,Arthur's Clubtail,Gomphidae,anisoptera,Restricted & Very Rare,0,0,0,1,(no change),,
36,Teinobasis cryptica,Cryptic Shadesprite,Coenagrionidae,zygoptera,Restricted & Very Rare,1,1,0,5,(no change),,
15,Aciagrion hisopa,Blue Slim,Coenagrionidae,zygoptera,Restricted & Very Rare,1,1,1,81,(no change),,
71,Macromia cydippe,Lesser Stream Cruiser,Macromiidae,anisoptera,Restricted & Rare,2,2,2,21,Restricted & Very Rare,,
138,Tetrathemis flavescens,Yellow-tinted Elf,Libellulidae,anisoptera,Restricted & Rare,2,2,2,7,Restricted & Very Rare,,
60,Heliogomphus kelantanensis,Malayan Grappletail,Gomphidae,anisoptera,Restricted & Rare,3,3,3,5,Restricted & Very Rare,,
134,Acrogomphus malayanus,Malayan Hooktail,Gomphidae,anisoptera,Restricted & Rare,3,3,3,12,Restricted & Very Rare,,
4,Vestalis amoena,Charming Flashwing,Calopterygidae,zygoptera,Restricted & Uncommon,8,8,4,84,Restricted & Very Rare,,
62,Leptogomphus risi,Ris' Clubtail,Gomphidae,anisoptera,Restricted & Rare,7,7,6,26,Restricted & Very Rare,,
129,Vestalis gracilis,Plain Flashwing,Calopterygidae,zygoptera,Restricted but Common,7,7,7,2168,Restricted & Very Rare,,
53,Heliaeschna crassa,Nighthawker,Aeshnidae,anisoptera,Restricted & Very Rare,9,8,7,30,(no change),,
55,Oligoaeschna amata,Paddletail,Aeshnidae,anisoptera,Restricted & Very Rare,8,8,7,11,(no change),,
56,Oligoaeschna foliacea,Leaftail,Aeshnidae,anisoptera,Restricted & Very Rare,8,8,8,13,(no change),,
66,Paragomphus capricornis,Banded Hooktail,Gomphidae,anisoptera,Restricted & Rare,8,8,8,289,Restricted & Very Rare,,
46,Prodasineura interrupta,Interrupted Threadtail,Platycnemididae,zygoptera,Restricted & Uncommon,11,11,9,15,Restricted & Very Rare,,
