common_name,species,distribution_and_rarity
Blue-spotted Flatwing,Podolestes orientalis,Restricted & Uncommon
White-faced Clearwing,Echo modesta,Nationally Extinct
Green Metalwing,Neurobasis chinensis,Nationally Extinct
Common Flashwing,Vestalis amethystina,Restricted but Common
Charming Flashwing,Vestalis amoena,Restricted & Uncommon
Plain Flashwing,Vestalis gracilis,Restricted but Common
Fiery Gem,Libellago aurantiaca,Restricted but Common
Clearwing Gem,Libellago hyalina,Restricted but Common
Golden Gem,Libellago lineata,Widespread & Common
Orange-faced Gem,Libellago stigmatizans,Nationally Extinct
Blue Slim,Aciagrion hisopa,Restricted & Very Rare
Variable Wisp,Agriocnemis femina,Widespread & Common
Marsh Wisp,Agriocnemis minima,Restricted & Very Rare
Dwarf Wisp,Agriocnemis nana,Restricted & Very Rare
Wandering Wisp,Agriocnemis pygmaea,Widespread but Rare
Bebar Wisp,Amphicnemis bebar,Restricted & Very Rare
Will-o-wisp,Amphicnemis gracilis,Restricted but Common
Blue-nosed Sprite,Archibasis melanocyana,Restricted & Rare
Rebecca's Sprite,Archibasis rebeccae,Restricted & Very Rare
Violet Sprite,Archibasis viola,Widespread & Common
Variable Sprite,Argiocnemis rubescens rubeola,Widespread but Uncommon
Ornate Coraltail,Ceriagrion cerinorubellum,Widespread & Common
Fiery Coraltail,Ceriagrion chaoi,Restricted & Rare
Common Bluetail,Ischnura senegalensis,Widespread & Common
Blue Midget,Mortonagrion aborense,Restricted & Rare
Arthur's Midget,Mortonagrion arthuri,Restricted & Rare
Hooked Midget,Mortonagrion falcatum,Restricted & Very Rare
Dryad,Pericnemis stictica,Restricted & Rare
Look-alike Sprite,Pseudagrion australasiae,Restricted & Uncommon
Blue Sprite,Pseudagrion siamense,Widespread & Common
Grey Sprite,Pseudagrion pruinosum,Restricted but Common
Orange-faced Sprite,Pseudagrion rubriceps,Widespread but Rare
Cryptic Shadesprite,Teinobasis cryptica,Restricted & Very Rare
Red-tailed Sprite,Teinobasis ruficollis,Widespread but Rare
Malayan Grisette,Devadatta argyoides,Restricted & Uncommon
Black Velvetwing,Dysphaea dimidiata,Nationally Extinct
Blue-sided Satinwing,Euphaea impar,Widespread & Common
Crenulated Spreadwing,Lestes praemorsus,Widespread but Uncommon
Great Spreadwing,Orolestes wallacei,Nationally Extinct
Slender Spreadwing,Platylestes heterostylus,Restricted & Very Rare
White-tailed Sylvan,Coeliccia albicauda,Restricted & Very Rare
Twin-spotted Sylvan,Coeliccia didyma,Restricted & Very Rare
Telephone Sylvan,Coeliccia octogesima,Restricted but Common
Yellow Featherlegs,Copera marginipes,Widespread & Common
Variable Featherlegs,Copera vittata,Restricted & Rare
Shorttail,Onychargia atrocyana,Widespread but Uncommon
Collared Threadtail,Prodasineura collaris,Restricted & Uncommon
Orange-striped Threadtail,Prodasineura humeralis,Widespread & Common
Interrupted Threadtail,Prodasineura interrupta,Restricted & Uncommon
Crescent Threadtail,Prodasineura notostigma,Widespread & Common
Singapore Shadowdamsel,Drepanosticta quadrata,Restricted but Common
Emperor,Anax guttatus,Widespread but Uncommon
Arrow Emperor,Anax panybeus,Widespread but Rare
Spoon-tailed Duskhawker,Gynacantha basiguttata,Restricted & Rare
Small Duskhawker,Gynacantha bayadera,Widespread but Rare
Spear-tailed Duskhawker,Gynacantha dohrni,Widespread but Uncommon
Dingy Duskhawker,Gynacantha subinterrupta,Widespread but Uncommon
Nighthawker,Heliaeschna crassa,Restricted & Very Rare
Plain Nighthawker,Heliaeschna simplicia,Restricted & Very Rare
Lesser Nighthawker,Heliaeschna uninervulata,Widespread but Rare
Paddletail,Oligoaeschna amata,Restricted & Very Rare
Leaftail,Oligoaeschna foliacea,Restricted & Very Rare
Giant Hawker,Tetracanthagyna plagiata,Restricted & Uncommon
Emerald,Hemicordulia tenera,Restricted & Rare
Malayan Hooktail,Acrogomphus malayanus,Restricted & Rare
Arthur's Clubtail,Burmagomphus arthuri,Restricted & Very Rare
Splayed Clubtail,Burmagomphus divaricatus,Nationally Extinct
Lesser Splayed Clubtail,Burmagomphus plagiatus,Nationally Extinct
Malayan Grappletail,Heliogomphus kelantanensis,Restricted & Rare
Common Flangetail,Ictinogomphus decoratus,Widespread & Common
Ris' Clubtail,Leptogomphus risi,Restricted & Rare
Forktail,Macrogomphus quadratus,Restricted & Uncommon
Malayan Spineleg,Merogomphus femoralis,Restricted & Very Rare
Tiny Sheartail,Microgomphus chelifer,Restricted & Rare
Banded Hooktail,Paragomphus capricornis,Restricted & Rare
Trumpet Tail,Acisoma panorpoides,Widespread & Common
Blue Adjutant,Aethriamanta aethra,Widespread but Uncommon
Scarlet Adjutant,Aethriamanta brevipennis,Widespread but Uncommon
Pond Adjutant,Aethriamanta gracilis,Widespread & Common
Grenadier,Agrionoptera insignis,Widespread and Common
Handsome Grenadier,Agrionoptera sexlineata,Widespread but Uncommon
Blue Dasher,Brachydiplax chalybea,Widespread & Common
Black-tailed Dasher,Brachydiplax farinosa,Restricted & Very Rare
Pixie,Brachygonia oculata,Restricted & Uncommon
